,ASIANPAINT,EICHERMOT,HEROMOTOCO,TATAMOTORS,APOLLOHOSP,SBIN,M&M,BEL,JSWSTEEL,ICICIBANK,INDUSINDBK,ONGC,BAJAJ-AUTO,BRITANNIA,NESTLEIND,HINDALCO,RELIANCE,TRENT,TATASTEEL,DRREDDY,SHRIRAMFIN,KOTAKBANK,HDFCBANK,AXISBANK,NTPC,TECHM,SBILIFE,CIPLA,GRASIM,HINDUNILVR,LT,TATACONSUM,WIPRO,TITAN,BPCL,INFY,SUNPHARMA,TCS,MARUTI,HCLTECH,COALINDIA,ULTRACEMCO,GOLDIETF
0,2498.0,5687.5,4332.5,692.5,7482.0,811.35,3176.5,418.35,1035.3,1432.1,850.75,244.12,8363.5,5844.0,2433.9,674.6,1549.4,5422.0,158.12,1271.7,681.1,2220.4,2012.2,1167.1,345.0,1617.0,1812.6,1493.4,2804.8,2432.0,3579.0,1100.4,266.85,3443.7,351.5,1630.2,1676.0,3379.3,12464.0,1676.5,385.95,12476.0,82.74
0,2497.9,5688.0,4332.5,692.45,7483.0,811.55,3176.8,418.35,1035.3,1432.0,850.75,244.1,8363.5,5845.5,2433.0,674.15,1549.3,5421.5,158.08,1272.7,681.1,2220.0,2012.0,1167.1,345.0,1616.5,1812.7,1493.4,2804.5,2432.1,3579.0,1100.0,266.85,3443.9,351.45,1630.1,1675.6,3379.0,12460.0,1676.5,385.95,12471.0,82.73
0,2498.0,5688.0,4332.5,692.5,7484.0,811.3,3176.5,418.35,1035.3,1432.1,850.75,244.13,8363.5,5846.5,2433.6,674.15,1549.4,5421.5,158.08,1272.6,681.1,2219.7,2012.1,1167.1,345.1,1617.0,1813.2,1493.7,2805.3,2432.2,3579.0,1100.5,267.15,3443.0,351.4,1630.1,1675.5,3379.2,12462.0,1676.5,385.85,12471.0,82.72
0,2498.5,5687.5,4332.3,692.45,7484.0,811.45,3176.2,418.25,1035.4,1432.1,850.8,244.08,8364.0,5846.0,2433.6,674.4,1549.3,5424.5,158.05,1272.7,681.4,2220.0,2012.0,1167.0,345.1,1616.9,1813.2,1493.6,2805.4,2432.1,3579.0,1100.5,267.0,3444.2,351.5,1630.1,1675.5,3379.1,12462.0,1676.9,385.85,12470.0,82.72
0,2498.6,5685.5,4332.0,692.5,7484.0,811.3,3176.4,418.2,1035.3,1431.7,850.75,244.01,8363.0,5845.5,2433.5,674.25,1549.2,5422.5,158.08,1272.4,681.5,2219.6,2012.2,1166.9,345.1,1616.8,1812.6,1493.6,2805.2,2433.0,3578.0,1100.0,266.95,3443.9,351.3,1630.8,1675.5,3378.8,12462.0,1676.9,385.8,12474.0,82.72
0,2498.3,5688.5,4331.6,692.5,7483.5,811.4,3176.4,418.1,1034.5,1432.0,850.75,244.01,8362.5,5844.5,2432.9,674.3,1549.3,5422.5,158.07,1272.1,681.35,2220.2,2012.0,1166.9,345.1,1616.5,1813.0,1493.4,2805.1,2432.0,3579.8,1100.5,267.05,3442.5,351.3,1630.2,1675.5,3379.0,12460.0,1676.9,385.8,12474.0,82.72
0,2498.5,5688.5,4331.6,692.6,7483.5,811.35,3175.1,418.1,1034.6,1432.0,850.8,244.02,8363.0,5846.5,2432.9,674.3,1549.0,5422.5,158.08,1272.1,681.45,2220.4,2012.0,1167.0,345.0,1617.0,1812.2,1493.8,2805.1,2432.1,3579.6,1100.5,267.05,3443.8,351.4,1630.4,1675.6,3379.0,12460.0,1676.6,385.85,12473.0,82.72
0,2498.0,5686.5,4331.4,692.6,7483.5,811.35,3175.7,418.1,1034.5,1431.9,850.8,244.08,8365.0,5846.5,2433.0,674.5,1549.4,5422.0,158.07,1272.4,681.45,2220.5,2012.1,1167.0,345.1,1616.5,1813.4,1493.8,2804.1,2432.0,3578.3,1100.4,266.9,3443.7,351.3,1630.0,1675.5,3378.9,12458.0,1676.4,385.85,12473.0,82.72
0,2498.0,5689.0,4331.9,692.6,7482.5,811.25,3175.1,418.2,1034.2,1431.9,850.55,244.02,8360.5,5844.0,2433.1,674.7,1549.4,5422.5,158.07,1272.6,681.45,2220.5,2012.1,1166.8,345.0,1616.5,1812.5,1493.8,2804.8,2433.0,3580.0,1100.1,266.9,3442.5,351.25,1630.2,1676.4,3378.9,12460.0,1676.7,385.9,12475.0,82.72
0,2497.9,5686.5,4332.3,692.6,7482.5,811.2,3175.6,418.1,1034.3,1431.6,850.8,244.14,8360.0,5844.5,2433.0,674.5,1549.4,5424.5,158.1,1272.4,681.45,2219.6,2012.1,1166.9,345.05,1616.7,1812.5,1494.2,2804.1,2431.8,3578.7,1100.0,266.95,3442.5,351.3,1630.1,1676.0,3378.9,12461.0,1676.7,385.95,12470.0,82.72
